Ensembl Gene Record	A778_D0_gene	A820_D0_gene	A870_D0_gene	A899_D0_gene
ENSG00000012983.11	839	1026	583	1306
ENSG00000013016.15	373	244	182	280
ENSG00000013275.7	1066	703	2334	4737
ENSG00000013288.8	539	640	312	1188
ENSG00000013293.5	0	2	0	6
ENSG00000013297.11	42	49	13	313
ENSG00000013306.15	2399	3117	2349	4357
ENSG00000013364.18	2380	1369	2616	3843
ENSG00000013374.16	673	473	1112	1846
ENSG00000013375.15	971	237	594	922
ENSG00000013392.7	152	66	74	158
ENSG00000013441.15	1330	1616	1821	1275
ENSG00000013503.9	242	229	306	597
ENSG00000013523.9	416	651	706	1379
ENSG00000013561.17	574	515	726	697
ENSG00000013563.13	315	692	832	882
ENSG00000013573.16	510	1166	821	1172
ENSG00000013583.9	313	503	267	629
ENSG00000013588.8	9537	8574	1871	3068
ENSG00000013619.13	116	223	196	255
ENSG00000013725.14	32	40	2	15
ENSG00000013810.18	498	979	289	1281
ENSG00000014123.9	1301	409	728	770
ENSG00000014138.8	65	113	65	101
ENSG00000014164.6	575	1011	821	675
ENSG00000014216.15	5018	4867	6866	7010
ENSG00000014257.15	51	42	17	251
ENSG00000014641.17	2109	2835	1547	2978
ENSG00000014824.13	1053	1643	742	1109
ENSG00000014914.20	438	35	279	433
ENSG00000014919.12	450	465	365	881
ENSG00000015133.18	614	770	519	985
ENSG00000015153.14	221	229	151	369
ENSG00000015171.19	2224	614	1661	2299
ENSG00000015285.10	40	57	17	36
ENSG00000015413.9	275	154	1	6
ENSG00000015475.18	357	240	608	520
ENSG00000015479.18	281	755	360	373
ENSG00000015520.14	4	20	5	23
ENSG00000015532.9	510	756	424	726
ENSG00000015568.12	5	4	5	6
ENSG00000015592.16	36	0	0	1
ENSG00000015676.17	1326	1634	601	2727
ENSG00000016082.14	0	16	6	0
ENSG00000016391.10	119	284	99	263
ENSG00000016402.13	9	16	12	188
ENSG00000016864.18	418	749	528	553
ENSG00000017260.19	1448	1939	1707	6471
ENSG00000017427.16	480	220	21	1270
ENSG00000017483.14	5	4	1510	18
ENSG00000017797.12	2340	2172	1437	4449
ENSG00000018189.12	627	221	212	612
ENSG00000018236.14	25	0	9	3
ENSG00000018280.16	231	267	238	287
ENSG00000018408.14	675	1017	619	2186
ENSG00000018510.14	767	896	448	1237
ENSG00000018610.14	137	360	243	864
ENSG00000018625.14	15	78	1	112
ENSG00000018699.12	373	321	258	437
ENSG00000018869.16	32	5	36	57
ENSG00000019102.11	0	1	151	31
ENSG00000019144.18	1385	590	1400	1618
ENSG00000019169.10	639	92	202	500
ENSG00000019186.9	45	1	18	2
ENSG00000019485.13	790	216	364	1031
ENSG00000019505.7	566	574	93	637
ENSG00000019549.11	9	5	7	3
ENSG00000019582.14	1455	4588	11635	18948
ENSG00000019991.16	6	3	6	3
ENSG00000019995.6	1253	343	692	2166
ENSG00000020129.15	380	617	716	1132
ENSG00000020181.17	41	26	14	116
ENSG00000020256.19	454	246	307	627
ENSG00000020426.10	287	470	343	438
ENSG00000020577.13	968	768	373	1259
ENSG00000020633.18	36	261	786	63
ENSG00000020922.12	662	1651	581	904
ENSG00000021300.13	366	846	732	726
ENSG00000021355.12	978	3937	704	3652
ENSG00000021461.16	1	5	6	0
ENSG00000021488.12	4	9	2	84
ENSG00000021574.12	1031	445	369	628
ENSG00000021645.18	82	47	184	84
ENSG00000021762.19	343	462	90	310
ENSG00000021776.10	723	998	414	980
ENSG00000021826.15	204	12	12	15
ENSG00000022267.16	62	247	203	1076
ENSG00000022277.12	2574	1207	2042	2999
ENSG00000022556.15	1093	0	5	4985
ENSG00000022567.9	1525	1119	1205	1748
ENSG00000022840.15	3517	1578	4233	5008
ENSG00000022976.15	143	291	134	412
ENSG00000023041.11	581	556	483	978
ENSG00000023171.17	54	62	20	69
ENSG00000023191.16	1608	1883	1418	2512
ENSG00000023228.13	2029	2208	1886	2105
ENSG00000023287.12	1749	1484	884	1774
ENSG00000023318.7	1307	1018	683	1729
ENSG00000023330.14	398	1085	601	786
ENSG00000023445.13	124	2634	155	180
ENSG00000023516.8	955	372	1628	995
ENSG00000023572.9	205	245	210	182
ENSG00000023608.4	178	209	279	273
ENSG00000023697.12	437	423	190	659
ENSG00000023734.10	2176	1838	1606	3862
ENSG00000023839.11	14	70	16	11
ENSG00000023892.10	194	33	156	225
ENSG00000023902.13	793	114	81	452
ENSG00000023909.9	197	483	1354	576
ENSG00000024048.10	1161	476	979	1499
ENSG00000024422.11	60	76	363	1091
ENSG00000024526.16	151	462	203	366
ENSG00000024862.17	132	110	312	168
ENSG00000025039.14	267	464	375	1752
ENSG00000025156.12	321	110	125	247
ENSG00000025293.16	1443	1073	447	951
ENSG00000025423.11	6	0	6	13
ENSG00000025434.18	177	102	122	242
ENSG00000025708.13	641	115	553	1116
