Ensembl Gene Record	Common Gene Name	Read Count	Log Count
ENSG00000127526.14	SLC35E1	4175	8.336869637284956
ENSG00000127527.13	EPS15L1	1003	6.910750787961936
ENSG00000127528.5	KLF2	165	5.10594547390058
ENSG00000127533.3	F2RL3	25	3.2188758248682006
ENSG00000127540.11	UQCR11	574	6.352629396319567
ENSG00000127554.12	GFER	215	5.3706380281276624
ENSG00000127561.14	SYNGR3	27	3.295836866004329
ENSG00000127564.16	PKMYT1	471	6.154858094016418
ENSG00000127578.6	WFIKKN1	5	1.6094379124341003
ENSG00000127580.16	WDR24	91	4.51085950651685
ENSG00000127585.11	FBXL16	70	4.248495242049359
ENSG00000127586.16	CHTF18	567	6.340359303727752
ENSG00000127589.4	TUBBP1	12	2.4849066497880004
ENSG00000127603.25	MACF1	8517	9.04981944514108
ENSG00000127616.18	SMARCA4	9857	9.19593714166544
ENSG00000127663.14	KDM4B	1925	7.562681246721884
ENSG00000127666.9	TICAM1	245	5.501258210544727
ENSG00000127720.7	METTL25	84	4.430816798843313
ENSG00000127774.6	EMC6	170	5.135798437050262
ENSG00000127804.12	METTL16	349	5.855071922202427
ENSG00000127824.13	TUBA4A	1551	7.346655163176539
ENSG00000127831.10	VIL1	39	3.6635616461296463
ENSG00000127837.9	AAMP	2367	7.769378609513984
ENSG00000127838.13	PNKD	1842	7.518607216815252
ENSG00000127863.15	TNFRSF19	84	4.430816798843313
ENSG00000127870.16	RNF6	232	5.44673737166631
ENSG00000127884.4	ECHS1	977	6.884486652042782
ENSG00000127903.13	ZNF835	38	3.6375861597263857
ENSG00000127914.16	AKAP9	1034	6.9411900550683745
ENSG00000127920.5	GNG11	139	4.9344739331306915
ENSG00000127922.9	SEM1	1506	7.317212408359839
ENSG00000127928.12	GNGT1	2	0.6931471805599453
ENSG00000127946.16	HIP1	2222	7.706162970199576
ENSG00000127947.15	PTPN12	1447	7.277247726631484
ENSG00000127948.15	POR	2211	7.701200180857446
ENSG00000127951.6	FGL2	48	3.871201010907891
ENSG00000127952.16	STYXL1	419	6.037870919922137
ENSG00000127954.12	STEAP4	415	6.028278520230698
ENSG00000127955.16	GNAI1	441	6.089044875446846
ENSG00000127957.17	PMS2P3	132	4.882801922586371
ENSG00000127980.15	PEX1	506	6.226536669287466
ENSG00000127989.13	MTERF1	183	5.209486152841421
ENSG00000127990.17	SGCE	317	5.75890177387728
ENSG00000127993.15	RBM48	182	5.204006687076795
ENSG00000127995.16	CASD1	384	5.950642552587727
ENSG00000128000.15	ZNF780B	171	5.14166355650266
ENSG00000128011.4	LRFN1	43	3.7612001156935624
ENSG00000128016.5	ZFP36	548	6.306275286948016
ENSG00000128039.10	SRD5A3	933	6.838405200847344
ENSG00000128045.6	RASL11B	3	1.0986122886681098
ENSG00000128050.8	PAICS	2387	7.77779262633883
ENSG00000128052.9	KDR	87	4.465908118654584
ENSG00000128059.8	PPAT	423	6.0473721790462776
ENSG00000128159.11	TUBGCP6	755	6.626717749249025
ENSG00000128165.8	ADM2	33	3.4965075614664802
ENSG00000128185.9	DGCR6L	233	5.4510384535657
ENSG00000128191.15	DGCR8	727	6.588926477533519
ENSG00000128203.6	ASPHD2	41	3.713572066704308
ENSG00000128228.4	SDF2L1	134	4.897839799950911
ENSG00000128242.12	GAL3ST1	6	1.791759469228055
ENSG00000128245.14	YWHAH	1920	7.560080465021827
ENSG00000128253.13	RFPL2	7	1.9459101490553132
ENSG00000128266.8	GNAZ	291	5.673323267171493
ENSG00000128268.11	MGAT3	304	5.717027701406222
ENSG00000128272.14	ATF4	3389	8.128290171607052
ENSG00000128274.16	A4GALT	639	6.459904454377535
ENSG00000128283.6	CDC42EP1	620	6.429719478039138
ENSG00000128284.19	APOL3	67	4.204692619390966
ENSG00000128294.15	TPST2	139	4.9344739331306915
ENSG00000128298.16	BAIAP2L2	17	2.833213344056216
ENSG00000128309.16	MPST	406	6.0063531596017325
ENSG00000128311.13	TST	159	5.0689042022202315
ENSG00000128335.13	APOL2	932	6.837332814685591
ENSG00000128340.14	RAC2	94	4.543294782270004
ENSG00000128342.4	LIF	600	6.396929655216146
ENSG00000128346.10	C22orf23	26	3.258096538021482
ENSG00000128394.16	APOBEC3F	157	5.056245805348308
ENSG00000128408.8	RIBC2	91	4.51085950651685
ENSG00000128422.16	KRT17	290	5.66988092298052
ENSG00000128463.12	EMC4	1354	7.21081845347222
ENSG00000128482.15	RNF112	40	3.6888794541139363
ENSG00000128487.16	SPECC1	781	6.660575149839686
ENSG00000128510.11	CPA4	11	2.3978952727983707
ENSG00000128512.20	DOCK4	452	6.113682179832232
ENSG00000128513.14	POT1	289	5.666426688112432
ENSG00000128524.4	ATP6V1F	431	6.066108090103747
ENSG00000128534.7	LSM8	611	6.415096959171596
ENSG00000128536.15	CDHR3	149	5.003946305945459
ENSG00000128563.13	PRKRIP1	877	6.776506992372183
ENSG00000128564.6	VGF	9	2.1972245773362196
ENSG00000128567.16	PODXL	1130	7.029972911706386
ENSG00000128578.9	STRIP2	8	2.0794415416798357
ENSG00000128581.15	IFT22	580	6.363028103540465
ENSG00000128585.17	MKLN1	439	6.0844994130751715
ENSG00000128590.4	DNAJB9	140	4.941642422609304
ENSG00000128591.15	FLNC	92	4.5217885770490405
ENSG00000128594.7	LRRC4	15	2.70805020110221
ENSG00000128595.16	CALU	1135	7.034387929915503
ENSG00000128596.16	CCDC136	5	1.6094379124341003
ENSG00000128602.9	SMO	150	5.0106352940962555
ENSG00000128604.19	IRF5	89	4.48863636973214
ENSG00000128606.12	LRRC17	19	2.9444389791664403
ENSG00000128607.13	KLHDC10	860	6.756932389247553
ENSG00000128609.14	NDUFA5	1180	7.07326971745971
ENSG00000128626.11	MRPS12	242	5.488937726156687
ENSG00000128641.18	MYO1B	1095	6.9985096422506015
ENSG00000128645.14	HOXD1	451	6.111467339502679
ENSG00000128654.13	MTX2	713	6.569481420414296
ENSG00000128655.17	PDE11A	17	2.833213344056216
ENSG00000128656.13	CHN1	17	2.833213344056216
ENSG00000128683.13	GAD1	33	3.4965075614664802
ENSG00000128692.8	EIF2S2P4	10	2.302585092994046
ENSG00000128694.11	OSGEPL1	179	5.187385805840755
ENSG00000128699.13	ORMDL1	1042	6.948897222313312
